,hmm-p,hmm-r,hmm-f,hmm-acc,memm-p,memm-r,memm-f,memm-acc,base-p,base-r,base-f,base-acc
37,0.0,0.0,0.0,0.5555555555555556,0.5,1.0,0.6666666666666666,0.8888888888888888,1.0,1.0,1.0,1.0
38,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.8888888888888888
39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,0.6666666666666666,0.7692307692307693,0.7142857142857142,0.8717948717948718,1.0,1.0,1.0,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.9487179487179487
41,0.75,1.0,0.8571428571428571,0.9629629629629629,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9259259259259259,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9629629629629629
42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,0.4,1.0,0.5714285714285715,0.8846153846153846,0.6666666666666666,1.0,0.8,0.9615384615384616,0.5,0.5,0.5,0.9615384615384616
44,0.75,1.0,0.8571428571428571,0.8,0.75,1.0,0.8571428571428571,0.8,1.0,1.0,1.0,1.0
45,0.6666666666666666,1.0,0.8,0.8888888888888888,0.6666666666666666,1.0,0.8,0.8888888888888888,1.0,1.0,1.0,1.0
46,0.6666666666666666,1.0,0.8,0.6666666666666666,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.875
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,0.16666666666666666,0.25,0.2,0.7272727272727273,0.75,0.75,0.75,0.9090909090909091,0.6666666666666666,0.5,0.5714285714285715,0.9090909090909091
52,0.0,0.0,0.0,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,0.5,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,0.5,1.0,0.6666666666666666,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,0.6666666666666666,1.0,0.8,0.75,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.8333333333333334
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,0.75,1.0,0.8571428571428571,0.8888888888888888,0.75,1.0,0.8571428571428571,0.8888888888888888,1.0,1.0,1.0,1.0
62,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
63,0.5,1.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
64,0.8571428571428571,1.0,0.923076923076923,0.9705882352941176,0.8571428571428571,1.0,0.923076923076923,0.9705882352941176,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9411764705882353
65,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.8823529411764706,1.0,0.8333333333333334,0.9090909090909091,0.9705882352941176,0.6,0.5,0.5454545454545454,0.9117647058823529
